SiteProvince,DistrictName,EpiWeek,SampleCollectionDate,LabNumber,Sequence_ID,SiteName
Gauteng,Johannesburg MM,44.0,2023-11-01,ENV-COV-23-1094,ENV-COV-23-1094,Goudkoppies Wastewater Treatment Works
Free State,Mangaung MM,44.0,2023-10-31,ENV-COV-23-1095,ENV-COV-23-1095,Bloemspruit Wastewater Treatment Works
Gauteng,Ekurhuleni MM,44.0,2023-10-24,ENV-COV-23-1096,ENV-COV-23-1096,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Tshwane MM,44.0,2023-11-01,ENV-COV-23-1097,ENV-COV-23-1097,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,16.0,2023-04-19,ENV-COV-23-110,ENV-COV-23-110,SAPS Training College
Gauteng,Ekurhuleni MM,44.0,2023-11-02,ENV-COV-23-1100,ENV-COV-23-1100,Midstream
Gauteng,Ekurhuleni MM,44.0,2023-11-02,ENV-COV-23-1101,ENV-COV-23-1101,Olifantsfontein
Gauteng,Ekurhuleni MM,44.0,2023-11-02,ENV-COV-23-1103,ENV-COV-23-1103,Moloreng
Gauteng,Ekurhuleni MM,44.0,2023-11-02,ENV-COV-23-1104,ENV-COV-23-1104,Namane Drive
Gauteng,Ekurhuleni MM,44.0,2023-11-02,ENV-COV-23-1105,ENV-COV-23-1105,Sasol Garage
Gauteng,Tshwane MM,44.0,2023-11-03,ENV-COV-23-1106,ENV-COV-23-1106,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,44.0,2023-11-03,ENV-COV-23-1108,ENV-COV-23-1108,Kalafong Hospital
Gauteng,Tshwane MM,16.0,2023-04-19,ENV-COV-23-111,ENV-COV-23-111,Kalafong Hospital
Gauteng,Ekurhuleni MM,45.0,2023-11-06,ENV-COV-23-1114,ENV-COV-23-1114,Midstream
Gauteng,Ekurhuleni MM,45.0,2023-11-06,ENV-COV-23-1115,ENV-COV-23-1115,Olifantsfontein
Gauteng,Ekurhuleni MM,45.0,2023-11-06,ENV-COV-23-1117,ENV-COV-23-1117,Tembisa Hospital Downstream
Gauteng,Tshwane MM,16.0,2023-04-19,ENV-COV-23-112,ENV-COV-23-112,Daspoort Wastewater Treatment Works
North West,Ngaka Modiri Molema DM,43.0,2023-10-26,ENV-COV-23-1121,ENV-COV-23-1121,Mahikeng Water Treatment Works
North West,Ngaka Modiri Molema DM,43.0,2023-10-26,ENV-COV-23-1122,ENV-COV-23-1122,Mmabatho Water Treatment Works
Gauteng,Tshwane MM,45.0,2023-11-07,ENV-COV-23-1123,ENV-COV-23-1123,SAPS Training College
Gauteng,Tshwane MM,45.0,2023-11-07,ENV-COV-23-1124,ENV-COV-23-1124,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,45.0,2023-11-07,ENV-COV-23-1125,ENV-COV-23-1125,Kalafong Hospital
Gauteng,Ekurhuleni MM,45.0,2023-11-07,ENV-COV-23-1126,ENV-COV-23-1126,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Ekurhuleni MM,45.0,2023-11-07,ENV-COV-23-1127,ENV-COV-23-1127,Hartebeesfontein Waterworks
Gauteng,Johannesburg MM,45.0,2023-11-08,ENV-COV-23-1128,ENV-COV-23-1128,Chris Hani Baragwanath Hospital
Gauteng,Tshwane MM,16.0,2023-04-19,ENV-COV-23-113,ENV-COV-23-113,Rooiwal Wastewater Treatment Works
Gauteng,Johannesburg MM,45.0,2023-11-08,ENV-COV-23-1130,ENV-COV-23-1130,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,45.0,2023-11-08,ENV-COV-23-1132,ENV-COV-23-1132,Bushkoppies Inlet
Gauteng,Johannesburg MM,45.0,2023-11-08,ENV-COV-23-1134,ENV-COV-23-1134,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,45.0,2023-11-09,ENV-COV-23-1135,ENV-COV-23-1135,Midstream
Gauteng,Ekurhuleni MM,45.0,2023-11-09,ENV-COV-23-1136,ENV-COV-23-1136,Olifantsfontein
Gauteng,Ekurhuleni MM,45.0,2023-11-09,ENV-COV-23-1137,ENV-COV-23-1137,Tembisa Mall
Gauteng,Ekurhuleni MM,45.0,2023-11-09,ENV-COV-23-1138,ENV-COV-23-1138,Tembisa Hospital Downstream
Gauteng,Ekurhuleni MM,45.0,2023-11-09,ENV-COV-23-1139,ENV-COV-23-1139,Moloreng
Gauteng,Johannesburg MM,16.0,2023-04-20,ENV-COV-23-114,ENV-COV-23-114,Bushkoppies Inlet
Gauteng,Ekurhuleni MM,45.0,2023-11-09,ENV-COV-23-1140,ENV-COV-23-1140,Namane Drive
Gauteng,Tshwane MM,45.0,2023-11-08,ENV-COV-23-1142,ENV-COV-23-1142,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,45.0,2023-11-09,ENV-COV-23-1144,ENV-COV-23-1144,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,45.0,2023-11-10,ENV-COV-23-1145,ENV-COV-23-1145,SAPS Training College
Gauteng,Tshwane MM,45.0,2023-11-10,ENV-COV-23-1146,ENV-COV-23-1146,SAPS Training College
Gauteng,Tshwane MM,45.0,2023-11-10,ENV-COV-23-1148,ENV-COV-23-1148,Vergenoeg
Gauteng,Tshwane MM,45.0,2023-11-10,ENV-COV-23-1149,ENV-COV-23-1149,Laudium
Gauteng,Johannesburg MM,16.0,2023-04-20,ENV-COV-23-115,ENV-COV-23-115,Bushkoppies Final
Gauteng,Ekurhuleni MM,46.0,2023-11-13,ENV-COV-23-1151,ENV-COV-23-1151,Midstream
Gauteng,Ekurhuleni MM,46.0,2023-11-13,ENV-COV-23-1152,ENV-COV-23-1152,Olifantsfontein
Gauteng,Ekurhuleni MM,46.0,2023-11-13,ENV-COV-23-1154,ENV-COV-23-1154,Namane Drive
Gauteng,Ekurhuleni MM,46.0,2023-11-13,ENV-COV-23-1155,ENV-COV-23-1155,Sasol Garage
Gauteng,Tshwane MM,46.0,2023-11-14,ENV-COV-23-1156,ENV-COV-23-1156,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,46.0,2023-11-14,ENV-COV-23-1158,ENV-COV-23-1158,Kalafong Hospital
Gauteng,Johannesburg MM,16.0,2023-04-20,ENV-COV-23-116,ENV-COV-23-116,Chris Hani Baragwanath Hospital
Gauteng,Tshwane MM,46.0,2023-11-14,ENV-COV-23-1161,ENV-COV-23-1161,Groenkloof
Gauteng,Ekurhuleni MM,46.0,2023-11-14,ENV-COV-23-1162,ENV-COV-23-1162,ERWAT Vlakplaat Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,46.0,2023-11-13,ENV-COV-23-1163,ENV-COV-23-1163,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,46.0,2023-11-13,ENV-COV-23-1164,ENV-COV-23-1164,Northern Wastewater Treatment Works (KZN)
Gauteng,Johannesburg MM,46.0,2023-11-13,ENV-COV-23-1165,ENV-COV-23-1165,Northern Wastewater Treatment Works (GP)
Gauteng,Ekurhuleni MM,46.0,2023-11-17,ENV-COV-23-1168,ENV-COV-23-1168,Hartebeesfontein Waterworks
Gauteng,Johannesburg MM,46.0,2023-11-17,ENV-COV-23-1169,ENV-COV-23-1169,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,17.0,2023-04-25,ENV-COV-23-117,ENV-COV-23-117,Atteridgeville Train Station
Gauteng,Johannesburg MM,46.0,2023-11-15,ENV-COV-23-1170,ENV-COV-23-1170,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,46.0,2023-11-15,ENV-COV-23-1171,ENV-COV-23-1171,Motsoaledi
Gauteng,Johannesburg MM,46.0,2023-11-15,ENV-COV-23-1172,ENV-COV-23-1172,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,46.0,2023-11-15,ENV-COV-23-1173,ENV-COV-23-1173,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,46.0,2023-11-15,ENV-COV-23-1174,ENV-COV-23-1174,Bushkoppies Inlet
Gauteng,Johannesburg MM,46.0,2023-11-15,ENV-COV-23-1175,ENV-COV-23-1175,Bushkoppies Final
Gauteng,Tshwane MM,17.0,2023-04-25,ENV-COV-23-118,ENV-COV-23-118,Vergenoeg
Gauteng,Tshwane MM,17.0,2023-04-25,ENV-COV-23-119,ENV-COV-23-119,Laudium
Gauteng,Tshwane MM,17.0,2023-04-25,ENV-COV-23-120,ENV-COV-23-120,SAPS Training College
Gauteng,Tshwane MM,17.0,2023-04-25,ENV-COV-23-121,ENV-COV-23-121,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,17.0,2023-04-25,ENV-COV-23-122,ENV-COV-23-122,Kalafong Hospital
Gauteng,Tshwane MM,17.0,2023-04-25,ENV-COV-23-123,ENV-COV-23-123,Groenkloof
Gauteng,Ekurhuleni MM,17.0,2023-04-25,ENV-COV-23-124,ENV-COV-23-124,Hartebeesfontein Waterworks
Free State,Mangaung MM,17.0,2023-04-25,ENV-COV-23-125,ENV-COV-23-125,Sterkwater Wastewater Treatment Works
Gauteng,Johannesburg MM,48.0,2023-11-29,ENV-COV-23-1250,ENV-COV-23-1250,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,48.0,2023-11-29,ENV-COV-23-1254,ENV-COV-23-1254,Rooiwal Wastewater Treatment Works
Gauteng,Ekurhuleni MM,48.0,2023-11-30,ENV-COV-23-1255,ENV-COV-23-1255,Midstream
Free State,Mangaung MM,17.0,2023-04-26,ENV-COV-23-126,ENV-COV-23-126,Bloemspruit Wastewater Treatment Works
Gauteng,Ekurhuleni MM,49.0,2023-12-04,ENV-COV-23-1268,ENV-COV-23-1268,Midstream
Gauteng,Ekurhuleni MM,49.0,2023-12-04,ENV-COV-23-1269,ENV-COV-23-1269,Olifantsfontein
Gauteng,Johannesburg MM,17.0,2023-04-26,ENV-COV-23-127,ENV-COV-23-127,Bushkoppies Final
KwaZulu-Natal,Ethekwini MM,49.0,2023-12-04,ENV-COV-23-1274,ENV-COV-23-1274,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,49.0,2023-12-04,ENV-COV-23-1275,ENV-COV-23-1275,Northern Wastewater Treatment Works (KZN)
,,,,,ENV-COV-23-1276,
Western Cape,Cape Town MM,49.0,2023-12-05,ENV-COV-23-1277,ENV-COV-23-1277,Zandvleit Wastewater Treatment Works
Gauteng,Tshwane MM,18.0,2023-05-02,ENV-COV-23-128,ENV-COV-23-128,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,49.0,2023-12-05,ENV-COV-23-1281,ENV-COV-23-1281,Atteridgeville Train Station
Gauteng,Johannesburg MM,49.0,2023-12-06,ENV-COV-23-1288,ENV-COV-23-1288,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,18.0,2023-05-02,ENV-COV-23-129,ENV-COV-23-129,Kalafong Hospital
Gauteng,Johannesburg MM,49.0,2023-12-06,ENV-COV-23-1293,ENV-COV-23-1293,Bushkoppies Inlet
Gauteng,Johannesburg MM,49.0,2023-12-06,ENV-COV-23-1294,ENV-COV-23-1294,Bushkoppies Final
Gauteng,Ekurhuleni MM,49.0,2023-12-07,ENV-COV-23-1295,ENV-COV-23-1295,Midstream
Gauteng,Ekurhuleni MM,49.0,2023-12-07,ENV-COV-23-1296,ENV-COV-23-1296,Olifantsfontein
Gauteng,Tshwane MM,18.0,2023-05-02,ENV-COV-23-130,ENV-COV-23-130,SAPS Training College
Gauteng,Tshwane MM,18.0,2023-05-02,ENV-COV-23-131,ENV-COV-23-131,Atteridgeville Train Station
Gauteng,Ekurhuleni MM,50.0,2023-12-11,ENV-COV-23-1310,ENV-COV-23-1310,Midstream
Gauteng,Tshwane MM,18.0,2023-05-02,ENV-COV-23-132,ENV-COV-23-132,Vergenoeg
Gauteng,Johannesburg MM,50.0,2023-12-12,ENV-COV-23-1323,ENV-COV-23-1323,Northern Wastewater Treatment Works (GP)
,,,,,ENV-COV-23-1324,
KwaZulu-Natal,Ethekwini MM,50.0,2023-12-11,ENV-COV-23-1325,ENV-COV-23-1325,Central Wastewater Treatment Works (KZN)
Gauteng,Tshwane MM,18.0,2023-05-02,ENV-COV-23-133,ENV-COV-23-133,Laudium
Gauteng,Johannesburg MM,50.0,2023-12-13,ENV-COV-23-1330,ENV-COV-23-1330,Bushkoppies Inlet
Gauteng,Johannesburg MM,50.0,2023-12-13,ENV-COV-23-1331,ENV-COV-23-1331,Bushkoppies Final
Gauteng,Johannesburg MM,50.0,2023-12-13,ENV-COV-23-1332,ENV-COV-23-1332,Goudkoppies Wastewater Treatment Works
,,,,,ENV-COV-23-1338,
,,,,,ENV-COV-23-1339,
Gauteng,Tshwane MM,18.0,2023-05-02,ENV-COV-23-134,ENV-COV-23-134,Groenkloof
Gauteng,Ekurhuleni MM,51.0,2023-12-18,ENV-COV-23-1343,ENV-COV-23-1343,Midstream
Gauteng,Ekurhuleni MM,51.0,2023-12-18,ENV-COV-23-1348,ENV-COV-23-1348,Namane Drive
Gauteng,Tshwane MM,17.0,2023-04-26,ENV-COV-23-135,ENV-COV-23-135,Rooiwal Wastewater Treatment Works
Gauteng,Ekurhuleni MM,18.0,2023-05-02,ENV-COV-23-136,ENV-COV-23-136,ERWAT Vlakplaat Wastewater Treatment Works
Free State,Mangaung MM,51.0,2023-12-19,ENV-COV-23-1360,ENV-COV-23-1360,Bloemspruit Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,51.0,2023-12-18,ENV-COV-23-1361,ENV-COV-23-1361,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,51.0,2023-12-18,ENV-COV-23-1362,ENV-COV-23-1362,Central Wastewater Treatment Works (KZN)
Gauteng,Tshwane MM,18.0,2023-05-03,ENV-COV-23-137,ENV-COV-23-137,Rooiwal Wastewater Treatment Works
Gauteng,Johannesburg MM,51.0,2023-12-20,ENV-COV-23-1371,ENV-COV-23-1371,Bushkoppies Final
Free State,Mangaung MM,18.0,2023-05-03,ENV-COV-23-138,ENV-COV-23-138,Bloemspruit Wastewater Treatment Works
Gauteng,Tshwane MM,51.0,2023-12-22,ENV-COV-23-1382,ENV-COV-23-1382,Kalafong Hospital
Gauteng,Tshwane MM,51.0,2023-12-22,ENV-COV-23-1386,ENV-COV-23-1386,Groenkloof
Free State,Mangaung MM,18.0,2023-05-03,ENV-COV-23-139,ENV-COV-23-139,Sterkwater Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,18.0,2023-05-03,ENV-COV-23-140,ENV-COV-23-140,Northern Wastewater Treatment Works (KZN)
Eastern Cape,Buffalo City MM,52.0,2023-12-28,ENV-COV-23-1401,ENV-COV-23-1401,Mdantsane Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,18.0,2023-05-03,ENV-COV-23-141,ENV-COV-23-141,Central Wastewater Treatment Works (KZN)
Gauteng,Johannesburg MM,19.0,2023-05-04,ENV-COV-23-142,ENV-COV-23-142,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,19.0,2023-05-04,ENV-COV-23-143,ENV-COV-23-143,Bushkoppies Inlet
Gauteng,Johannesburg MM,19.0,2023-05-04,ENV-COV-23-144,ENV-COV-23-144,Bushkoppies Final
Gauteng,Johannesburg MM,19.0,2023-05-08,ENV-COV-23-145,ENV-COV-23-145,Other
Gauteng,Johannesburg MM,19.0,2023-05-08,ENV-COV-23-146,ENV-COV-23-146,Bushkoppies Inlet
Gauteng,Johannesburg MM,19.0,2023-05-08,ENV-COV-23-147,ENV-COV-23-147,Bushkoppies Final
Gauteng,Johannesburg MM,19.0,2023-05-08,ENV-COV-23-149,ENV-COV-23-149,Motsoaledi
Gauteng,Johannesburg MM,19.0,2023-05-08,ENV-COV-23-150,ENV-COV-23-150,Klipspruit Veggies (After tunnel)
Gauteng,Tshwane MM,19.0,2023-05-09,ENV-COV-23-151,ENV-COV-23-151,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,19.0,2023-05-09,ENV-COV-23-152,ENV-COV-23-152,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,19.0,2023-05-09,ENV-COV-23-153,ENV-COV-23-153,SAPS Training College
Gauteng,Tshwane MM,19.0,2023-05-09,ENV-COV-23-154,ENV-COV-23-154,Kalafong Hospital
Gauteng,Tshwane MM,19.0,2023-05-09,ENV-COV-23-157,ENV-COV-23-157,Laudium
Gauteng,Tshwane MM,19.0,2023-05-09,ENV-COV-23-158,ENV-COV-23-158,Groenkloof
Gauteng,Ekurhuleni MM,19.0,2023-05-09,ENV-COV-23-159,ENV-COV-23-159,Hartebeesfontein Waterworks
Gauteng,Ekurhuleni MM,19.0,2023-05-10,ENV-COV-23-160,ENV-COV-23-160,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Ekurhuleni MM,19.0,2023-05-10,ENV-COV-23-161,ENV-COV-23-161,Olifantsfontein
Gauteng,Ekurhuleni MM,19.0,2023-05-10,ENV-COV-23-162,ENV-COV-23-162,Tembisa Hospital Downstream
Gauteng,Ekurhuleni MM,19.0,2023-05-10,ENV-COV-23-164,ENV-COV-23-164,Moloreng
Gauteng,Ekurhuleni MM,19.0,2023-05-10,ENV-COV-23-165,ENV-COV-23-165,Namane Drive
Gauteng,Ekurhuleni MM,19.0,2023-05-10,ENV-COV-23-166,ENV-COV-23-166,Sasol Garage
Gauteng,Tshwane MM,19.0,2023-05-10,ENV-COV-23-167,ENV-COV-23-167,Daspoort Wastewater Treatment Works
Gauteng,Johannesburg MM,19.0,2023-05-11,ENV-COV-23-177,ENV-COV-23-177,Bushkoppies Final
Gauteng,Tshwane MM,19.0,2023-05-12,ENV-COV-23-181,ENV-COV-23-181,Kalafong Hospital
Gauteng,Tshwane MM,19.0,2023-05-12,ENV-COV-23-183,ENV-COV-23-183,Vergenoeg
Gauteng,Tshwane MM,19.0,2023-05-12,ENV-COV-23-184,ENV-COV-23-184,Laudium
Gauteng,Ekurhuleni MM,20.0,2023-05-15,ENV-COV-23-186,ENV-COV-23-186,Olifantsfontein
Gauteng,Ekurhuleni MM,20.0,2023-05-15,ENV-COV-23-187,ENV-COV-23-187,Tembisa Hospital Downstream
Gauteng,Ekurhuleni MM,20.0,2023-05-15,ENV-COV-23-188,ENV-COV-23-188,Tembisa Mall
Gauteng,Ekurhuleni MM,20.0,2023-05-15,ENV-COV-23-189,ENV-COV-23-189,Tembisa Mall
Gauteng,Ekurhuleni MM,20.0,2023-05-15,ENV-COV-23-191,ENV-COV-23-191,Sasol Garage
Gauteng,Ekurhuleni MM,20.0,2023-05-15,ENV-COV-23-192,ENV-COV-23-192,Moloreng
Gauteng,Ekurhuleni MM,20.0,2023-05-16,ENV-COV-23-193,ENV-COV-23-193,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,20.0,2023-05-15,ENV-COV-23-195,ENV-COV-23-195,Central Wastewater Treatment Works (KZN)
Gauteng,Tshwane MM,20.0,2023-05-16,ENV-COV-23-196,ENV-COV-23-196,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,20.0,2023-05-16,ENV-COV-23-197,ENV-COV-23-197,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,20.0,2023-05-16,ENV-COV-23-198,ENV-COV-23-198,SAPS Training College
Gauteng,Tshwane MM,20.0,2023-05-16,ENV-COV-23-199,ENV-COV-23-199,Kalafong Hospital
Gauteng,Tshwane MM,20.0,2023-05-16,ENV-COV-23-200,ENV-COV-23-200,Atteridgeville Train Station
Gauteng,Tshwane MM,20.0,2023-05-16,ENV-COV-23-201,ENV-COV-23-201,Vergenoeg
Gauteng,Tshwane MM,20.0,2023-05-16,ENV-COV-23-203,ENV-COV-23-203,Groenkloof
Gauteng,Johannesburg MM,20.0,2023-05-17,ENV-COV-23-204,ENV-COV-23-204,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,20.0,2023-05-17,ENV-COV-23-205,ENV-COV-23-205,Motsoaledi
Gauteng,Johannesburg MM,20.0,2023-05-17,ENV-COV-23-206,ENV-COV-23-206,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,20.0,2023-05-17,ENV-COV-23-207,ENV-COV-23-207,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,20.0,2023-05-17,ENV-COV-23-209,ENV-COV-23-209,Bushkoppies Final
Free State,Mangaung MM,20.0,2023-05-17,ENV-COV-23-210,ENV-COV-23-210,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,20.0,2023-05-17,ENV-COV-23-211,ENV-COV-23-211,Bloemspruit Wastewater Treatment Works
Gauteng,Tshwane MM,20.0,2023-05-17,ENV-COV-23-212,ENV-COV-23-212,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,20.0,2023-05-17,ENV-COV-23-213,ENV-COV-23-213,Daspoort Wastewater Treatment Works
Gauteng,Ekurhuleni MM,20.0,2023-05-18,ENV-COV-23-214,ENV-COV-23-214,Midstream
Gauteng,Ekurhuleni MM,20.0,2023-05-18,ENV-COV-23-215,ENV-COV-23-215,Tembisa Hospital Downstream
Gauteng,Ekurhuleni MM,20.0,2023-05-18,ENV-COV-23-216,ENV-COV-23-216,Tembisa Mall
Gauteng,Ekurhuleni MM,20.0,2023-05-18,ENV-COV-23-217,ENV-COV-23-217,Namane Drive
Gauteng,Ekurhuleni MM,20.0,2023-05-18,ENV-COV-23-219,ENV-COV-23-219,Moloreng
Gauteng,Tshwane MM,20.0,2023-05-19,ENV-COV-23-220,ENV-COV-23-220,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,20.0,2023-05-19,ENV-COV-23-221,ENV-COV-23-221,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,20.0,2023-05-19,ENV-COV-23-222,ENV-COV-23-222,SAPS Training College
Gauteng,Tshwane MM,20.0,2023-05-19,ENV-COV-23-223,ENV-COV-23-223,Kalafong Hospital
Gauteng,Tshwane MM,20.0,2023-05-19,ENV-COV-23-227,ENV-COV-23-227,Groenkloof
Gauteng,Ekurhuleni MM,21.0,2023-05-22,ENV-COV-23-228,ENV-COV-23-228,Midstream
Gauteng,Ekurhuleni MM,21.0,2023-05-22,ENV-COV-23-229,ENV-COV-23-229,Tembisa Hospital Downstream
Gauteng,Ekurhuleni MM,21.0,2023-05-22,ENV-COV-23-231,ENV-COV-23-231,Moloreng
Gauteng,Ekurhuleni MM,21.0,2023-05-22,ENV-COV-23-232,ENV-COV-23-232,Namane Drive
Gauteng,Ekurhuleni MM,21.0,2023-05-22,ENV-COV-23-233,ENV-COV-23-233,Sasol Garage
Free State,Mangaung MM,21.0,2023-05-16,ENV-COV-23-234,ENV-COV-23-234,Sterkwater Wastewater Treatment Works
Gauteng,Ekurhuleni MM,21.0,2023-05-22,ENV-COV-23-235,ENV-COV-23-235,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Tshwane MM,20.0,2023-05-17,ENV-COV-23-236,ENV-COV-23-236,Daspoort Wastewater Treatment Works
Gauteng,Ekurhuleni MM,21.0,2023-05-23,ENV-COV-23-237,ENV-COV-23-237,Hartebeesfontein Waterworks
Gauteng,Tshwane MM,21.0,2023-05-23,ENV-COV-23-238,ENV-COV-23-238,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,21.0,2023-05-23,ENV-COV-23-239,ENV-COV-23-239,SAPS Training College
Gauteng,Tshwane MM,21.0,2023-05-23,ENV-COV-23-241,ENV-COV-23-241,Atteridgeville Train Station
Gauteng,Tshwane MM,21.0,2023-05-23,ENV-COV-23-242,ENV-COV-23-242,Vergenoeg
Gauteng,Tshwane MM,21.0,2023-05-23,ENV-COV-23-243,ENV-COV-23-243,Laudium
Gauteng,Tshwane MM,21.0,2023-05-23,ENV-COV-23-244,ENV-COV-23-244,Groenkloof
Gauteng,Johannesburg MM,21.0,2023-05-24,ENV-COV-23-245,ENV-COV-23-245,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,21.0,2023-05-24,ENV-COV-23-246,ENV-COV-23-246,Motsoaledi
Gauteng,Johannesburg MM,21.0,2023-05-24,ENV-COV-23-247,ENV-COV-23-247,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,21.0,2023-05-24,ENV-COV-23-248,ENV-COV-23-248,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,21.0,2023-05-24,ENV-COV-23-249,ENV-COV-23-249,Bushkoppies Inlet
Gauteng,Ekurhuleni MM,5.0,2023-01-31,ENV-COV-23-25,ENV-COV-23-25,Hartebeesfontein Waterworks
Gauteng,Johannesburg MM,21.0,2023-05-24,ENV-COV-23-250,ENV-COV-23-250,Bushkoppies Final
Gauteng,Ekurhuleni MM,21.0,2023-05-25,ENV-COV-23-251,ENV-COV-23-251,Midstream
Gauteng,Ekurhuleni MM,21.0,2023-05-25,ENV-COV-23-252,ENV-COV-23-252,Tembisa Hospital Downstream
Gauteng,Tshwane MM,21.0,2023-05-26,ENV-COV-23-257,ENV-COV-23-257,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,21.0,2023-05-26,ENV-COV-23-258,ENV-COV-23-258,SAPS Training College
Gauteng,Tshwane MM,5.0,2023-02-01,ENV-COV-23-26,ENV-COV-23-26,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,21.0,2023-05-26,ENV-COV-23-260,ENV-COV-23-260,Atteridgeville Train Station
Gauteng,Tshwane MM,21.0,2023-05-26,ENV-COV-23-261,ENV-COV-23-261,Vergenoeg
Gauteng,Tshwane MM,21.0,2023-05-26,ENV-COV-23-263,ENV-COV-23-263,Groenkloof
Gauteng,Ekurhuleni MM,22.0,2023-05-29,ENV-COV-23-264,ENV-COV-23-264,Midstream
Gauteng,Ekurhuleni MM,22.0,2023-05-29,ENV-COV-23-265,ENV-COV-23-265,Tembisa Hospital Downstream
Gauteng,Ekurhuleni MM,22.0,2023-05-29,ENV-COV-23-266,ENV-COV-23-266,Tembisa Mall
Gauteng,Ekurhuleni MM,22.0,2023-05-29,ENV-COV-23-267,ENV-COV-23-267,Moloreng
Gauteng,Tshwane MM,22.0,2023-05-30,ENV-COV-23-270,ENV-COV-23-270,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,22.0,2023-05-30,ENV-COV-23-274,ENV-COV-23-274,Vergenoeg
Gauteng,Tshwane MM,22.0,2023-05-30,ENV-COV-23-275,ENV-COV-23-275,Laudium
Gauteng,Tshwane MM,22.0,2023-05-30,ENV-COV-23-276,ENV-COV-23-276,Groenkloof
Gauteng,Johannesburg MM,22.0,2023-05-31,ENV-COV-23-280,ENV-COV-23-280,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,22.0,2023-05-31,ENV-COV-23-282,ENV-COV-23-282,Bushkoppies Final
Gauteng,Ekurhuleni MM,22.0,2023-05-30,ENV-COV-23-283,ENV-COV-23-283,ERWAT Vlakplaat Wastewater Treatment Works
Free State,Mangaung MM,21.0,2023-05-23,ENV-COV-23-285,ENV-COV-23-285,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,21.0,2023-05-23,ENV-COV-23-286,ENV-COV-23-286,Bloemspruit Wastewater Treatment Works
Gauteng,Tshwane MM,22.0,2023-05-31,ENV-COV-23-288,ENV-COV-23-288,Rooiwal Wastewater Treatment Works
Free State,Mangaung MM,22.0,2023-05-30,ENV-COV-23-289,ENV-COV-23-289,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,22.0,2023-05-30,ENV-COV-23-290,ENV-COV-23-290,Bloemspruit Wastewater Treatment Works
Gauteng,Ekurhuleni MM,22.0,2023-06-01,ENV-COV-23-291,ENV-COV-23-291,Midstream
Gauteng,Ekurhuleni MM,22.0,2023-06-01,ENV-COV-23-292,ENV-COV-23-292,Tembisa Hospital Downstream
